  ,Name of Company,Holding Value in crores,Dec 2023,Sep 2023,Jun 2023,Mar 2023,Dec 2022,Sep 2022,Jun 2022,Mar 2022,Dec 2021
Mukul Agrawal,Paras Defence and Space Technologies Ltd.,-,-,-,-,1.1%,1.9%,-,2.3%,2.3%,2.3%
Mukul Agrawal,P E Analytics Ltd.,-,-,-,-,2.5%,2.5%,2.5%,2.5%,2.5%,-
Mukul Agrawal,Vasa Denticity Ltd.,20,-,2.6%,-,-,-,-,-,-,-
Akash Bhanshali,GeeCee Ventures Ltd.,18,3.0%,-,-,-,-,-,-,-,-
Akash Bhanshali,Genus Power Infrastructures Ltd.,89,1.4%,-,-,-,-,-,-,-,-
Akash Bhanshali,Granules India Ltd.,124,1.1%,-,-,-,-,-,-,-,-
Akash Bhanshali,Ramkrishna Forgings Ltd.,307,2.2%,-,2.5%,2.5%,2.5%,2.5%,2.5%,2.5%,2.5%
Akash Bhanshali,Praxis Home Retail Ltd.,9,3.2%,2.1%,2.1%,-,-,-,-,-,-
Akash Bhanshali,Greenlam Industries Ltd.,164,2.5%,1.6%,1.6%,1.6%,1.6%,1.6%,1.7%,1.7%,1.7%
Akash Bhanshali,Arvind Fashions Ltd.,287,4.6%,5.5%,5.5%,5.5%,5.5%,6.0%,6.0%,6.1%,6.1%
Akash Bhanshali,IDFC Ltd.,413,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%
Akash Bhanshali,Natco Pharma Ltd.,179,1.0%,1.0%,1.0%,-,-,-,-,-,-
Akash Bhanshali,Schneider Electric Infrastructure Ltd.,407,2.6%,2.6%,2.6%,2.6%,2.6%,2.6%,2.6%,2.4%,2.4%
Akash Bhanshali,Shilpa Medicare Ltd.,68,1.8%,1.8%,1.8%,1.8%,-,-,-,-,-
Akash Bhanshali,Sterlite Technologies Ltd.,55,1.0%,1.0%,1.0%,1.0%,1.0%,1.0%,1.0%,1.0%,-
Akash Bhanshali,Sudarshan Chemical Industries Ltd.,212,5.2%,5.2%,8.1%,8.1%,7.9%,3.6%,3.0%,3.0%,2.3%
Akash Bhanshali,Welspun Corp Ltd.,327,2.3%,2.3%,2.3%,2.3%,2.3%,2.3%,2.3%,2.5%,2.5%
Akash Bhanshali,Welspun Living Ltd.,219,1.5%,1.5%,1.5%,1.5%,1.1%,1.1%,1.1%,1.1%,-
Akash Bhanshali,Saraswati Commercial (India) Ltd.,6,1.0%,1.0%,1.0%,1.0%,1.0%,1.0%,1.0%,1.0%,1.0%
Akash Bhanshali,Laurus Labs Ltd.,294,1.3%,1.3%,1.3%,1.3%,1.1%,-,-,-,-
Akash Bhanshali,Amber Enterprises India Ltd.,186,1.5%,1.5%,1.5%,1.5%,1.5%,1.5%,1.5%,1.5%,1.5%
Akash Bhanshali,Gujarat Fluorochemicals Ltd.,"1,822",4.8%,4.8%,4.8%,4.9%,4.9%,4.9%,4.9%,4.9%,-
Akash Bhanshali,Inox Wind Energy Ltd.,296,3.7%,3.7%,4.7%,4.9%,5.0%,5.0%,5.0%,5.0%,5.0%
Akash Bhanshali,Maharashtra Seamless Ltd.,-,-,-,-,-,-,1.8%,1.8%,1.8%,1.8%
Akash Bhanshali,Titagarh Rail Systems Ltd.,-,-,-,1.1%,-,1.2%,1.2%,1.2%,1.2%,1.2%
Akash Bhanshali,Zodiac Clothing Company Ltd.,-,-,-,-,-,1.6%,1.6%,1.6%,1.6%,5.5%
Akash Bhanshali,Parag Milk Foods Ltd.,-,-,-,1.1%,-,1.1%,1.2%,1.3%,1.3%,1.3%
Akash Bhanshali,Mahindra Logistics Ltd.,-,-,-,-,-,-,-,-,1.0%,1.0%
Akash Bhanshali,Sandhar Technologies Ltd.,-,-,-,-,-,-,-,-,-,1.2%
Rakesh Jhunjhunwala,D B Realty Ltd.,402,3.0%,2.0%,1.4%,1.4%,1.5%,1.5%,1.9%,2.1%,2.1%
Rakesh Jhunjhunwala,Federal Bank Ltd.,"1,117",3.0%,3.1%,3.5%,3.5%,3.5%,2.6%,3.6%,3.7%,3.7%
Rakesh Jhunjhunwala,Nazara Technologies Ltd.,495,9.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.1%,10.1%
Rakesh Jhunjhunwala,Aptech Ltd.,622,43.7%,43.7%,43.7%,43.7%,43.8%,43.8%,43.8%,43.8%,43.9%
Rakesh Jhunjhunwala,Agro Tech Foods Ltd.,161,8.1%,8.1%,8.1%,8.2%,8.2%,8.2%,8.2%,8.2%,8.2%
Rakesh Jhunjhunwala,Canara Bank,"2,225",2.1%,2.1%,2.1%,2.1%,2.1%,1.5%,2.0%,2.0%,1.6%
Rakesh Jhunjhunwala,Crisil Ltd.,"2,006",5.5%,5.5%,5.5%,5.5%,5.5%,5.5%,5.5%,5.5%,5.5%
Rakesh Jhunjhunwala,Escorts Kubota Ltd.,523,1.6%,1.6%,1.6%,1.4%,1.4%,1.4%,1.4%,-,5.2%
Rakesh Jhunjhunwala,Fortis Healthcare Ltd.,"1,355",4.7%,4.7%,4.5%,4.5%,4.5%,4.7%,4.2%,4.2%,4.2%
Rakesh Jhunjhunwala,Geojit Financial Services Ltd.,146,8.2%,8.2%,8.2%,8.4%,8.4%,7.5%,7.5%,7.6%,7.6%
Rakesh Jhunjhunwala,Indian Hotels Company Ltd.,"1,766",2.1%,2.1%,2.1%,2.1%,2.1%,2.1%,2.1%,2.1%,2.2%
Rakesh Jhunjhunwala,Jubilant Pharmova Ltd.,606,6.7%,6.7%,6.7%,6.8%,6.8%,6.8%,6.8%,6.8%,6.3%
Rakesh Jhunjhunwala,Karur Vysya Bank Ltd.,695,4.6%,4.6%,-,4.7%,4.7%,4.4%,4.5%,4.5%,4.5%
Rakesh Jhunjhunwala,NCC Ltd.,"2,057",13.1%,13.1%,13.1%,13.1%,13.1%,12.6%,12.6%,12.8%,12.8%
Rakesh Jhunjhunwala,Sun Pharma Advanced Research Company Ltd.,240,1.9%,1.9%,1.9%,1.9%,-,-,-,-,-
Rakesh Jhunjhunwala,Tata Communications Ltd.,"1,039",1.8%,1.8%,1.8%,1.8%,1.8%,1.6%,1.1%,1.1%,1.1%
Rakesh Jhunjhunwala,Tata Motors Ltd.,"5,257",1.6%,1.6%,1.6%,1.6%,1.6%,1.1%,1.1%,1.2%,1.2%
Rakesh Jhunjhunwala,Titan Company Ltd.,"17,802",5.4%,5.4%,5.4%,5.3%,5.2%,5.5%,5.1%,5.1%,5.1%
Rakesh Jhunjhunwala,Va Tech Wabag Ltd.,367,8.0%,8.0%,8.0%,8.0%,8.0%,8.0%,8.0%,8.0%,8.0%
Rakesh Jhunjhunwala,Wockhardt Ltd.,174,2.0%,2.0%,2.0%,2.1%,2.1%,2.1%,2.1%,2.1%,2.3%
Rakesh Jhunjhunwala,Singer India Ltd.,40,7.0%,7.0%,7.0%,7.0%,7.9%,7.9%,-,-,-
Rakesh Jhunjhunwala,Raghav Productivity Enhancers Ltd.,73,5.1%,5.1%,5.1%,5.2%,-,-,-,-,-
Rakesh Jhunjhunwala,Jubilant Ingrevia Ltd.,237,3.1%,3.1%,3.1%,3.2%,3.2%,3.2%,4.7%,4.7%,4.7%
